,name,region,group,inosinate,guanylate,adenylic,glutamate,aspartate,threonine,serine,asparagine,glutamine,proline,glycine,alanine,valine,cysteine,methionine,isoleucine,leucine,tyrosine,phenylalanine,tryptophan,lysine,histidine,arginine,source,judgment
103,"Cheese, Kashkaval, aged for 2 months",Egypt,Milks,,,,26.4,3.68,4.93,2.73,,,9.16,3.07,6.53,9.92,,4.54,6.36,13.2,8.15,16.2,,5.91,1.79,2.12,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
104,"Cheese, Kashkaval, aged for 4 months",Egypt,Milks,,,,48.1,18.25,10.94,4.17,,,17.37,6.77,19.11,10.43,,6.65,8.15,26.0,13.09,29.5,,12.61,6.22,8.03,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
105,"Cheese, Mozzarella",Italy,Milks,,,,0.75,0.07,0.28,0.2,,0.13,,0.25,0.61,0.26,0.83,,0.13,0.16,0.09,0.06,,0.23,0.0,0.27,"Masako Yamada et.al.(2003)Journal of Cookery Science of Japan 36,2,108-115",bad
106,"Cheese, Mozzarella",Italy,Milks,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Umami Information Center,bad
107,"Cheese, Mozzarella, heated at 200℃ for 10min",Italy,Milks,,,,0.72,0.06,0.26,0.16,,0.11,,0.19,0.57,0.24,0.78,,0.12,0.12,0.08,0.05,,0.5,0.05,0.13,"Masako Yamada et.al.(2003)Journal of Cookery Science of Japan 36,2,108-115",bad
108,"Cheese, Parmigiano reggiano, aged for 24 months",Italy,Milks,,,,1680.0,414.0,212.0,561.0,,,884.0,297.0,253.0,671.0,,212.0,535.0,695.0,240.0,435.0,,1130.0,236.0,2.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",very good
109,"Cheese, Parmigiano reggiano, aged for 48 months",Italy,Milks,,,,2220.0,580.0,360.0,790.0,,,1160.0,310.0,320.0,850.0,0.0,300.0,750.0,980.0,250.0,550.0,50.0,1410.0,300.0,430.0,Umami Information Center,amazing
110,"Cheese, Queso Manchego, aged for 9 months",Spain,Milks,,,,295.0,49.0,31.0,48.0,130.0,57.0,130.0,20.0,70.0,187.0,0.0,66.0,83.0,272.0,69.0,150.0,5.0,177.0,33.0,2.0,Umami Information Center,unexceptional
111,"Cheese, Roquefort",France,Milks,,,,471.0,107.0,79.0,85.0,92.0,121.0,169.0,40.0,180.0,281.0,0.0,128.0,197.0,424.0,195.0,202.0,32.0,420.0,135.0,85.0,Umami Information Center,acceptable
112,"Cheese, Sainte-Maure de Touraine",France,Milks,,,,60.0,19.0,20.0,16.1,4.1,74.0,23.2,9.0,28.1,28.0,0.0,16.0,15.1,26.2,11.1,28.1,9.1,14.1,26.1,10.1,Umami Information Center,unexceptional
113,Cherry tomato,Japan,Vegetables,,,,18.4,29.1,3.1,7.5,8.7,66.0,3.4,0.8,6.3,0.7,0.0,0.0,1.5,2.4,3.1,8.7,1.4,2.2,4.8,5.5,Hinako Ito and Hiroshi Ueno,unexceptional
114,Chervil,Japan,Vegetables,,,,1.8,2.7,4.9,7.1,25.0,42.0,5.8,0.3,3.6,7.3,0.0,0.8,5.2,3.2,3.3,7.7,3.0,2.3,1.5,3.1,Hinako Ito and Hiroshi Ueno,bad
115,"Chestnut, Kunimi",Japan,Nuts and Seeds,,,,98.1,,14.1,,56.8,,,,28.4,,,,,,,,,,,17.8,Ehime-ken industrial technologies center report,unexceptional
116,"Chestnut, Tsukuba",Japan,Nuts and Seeds,,,,89.8,,13.3,,44.0,,,,46.4,,,,,,,,,,,56.8,Ehime-ken industrial technologies center report,unexceptional
117,Chicory,Japan,Vegetables,,,,0.9,1.0,2.3,6.0,20.0,163.0,5.5,0.4,1.9,1.6,0.0,0.0,2.0,0.5,2.0,2.0,2.0,0.1,1.5,8.4,Hinako Ito and Hiroshi Ueno,bad
118,Chili paste,Japan,Seasonings and Spices,,,,77.0,76.0,35.0,48.0,,0.0,55.0,28.0,53.0,51.0,0.0,14.0,37.0,67.0,45.0,47.0,0.0,49.0,17.0,85.0,,unexceptional
119,Chili sauce,USA,Seasonings and Spices,0.0,0.0,,4.3,61.0,28.1,6.2,9.6,0.0,27.0,13.1,30.1,33.0,0.0,13.0,24.0,48.0,23.0,35.0,10.0,37.0,11.0,22.4,Umami Information Center,bad
120,Chinese cabbage,Japan,Vegetables,,,,2.3,0.8,1.4,5.1,6.1,107.0,0.6,1.2,5.8,0.8,0.0,0.0,0.7,0.3,0.0,0.3,0.0,0.2,0.4,1.3,Hinako Ito and Hiroshi Ueno,bad
121,"Chinese cabbage, center part",Japan,Vegetables,,,,27.0,9.0,6.0,18.0,0.0,0.0,12.0,4.0,43.0,5.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,3.0,8.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
122,"Chinese cabbage, outer part",Japan,Vegetables,,,,50.0,11.0,9.0,24.0,0.0,0.0,17.0,3.0,46.0,10.0,0.0,0.0,7.0,4.0,3.0,4.0,2.0,5.0,6.0,34.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
123,"Chinese cabbage, whole",Japan,Vegetables,,,,94.0,12.0,3.0,14.0,55.0,29.8,29.0,2.0,59.0,9.0,30.12,31.12,4.0,1.0,1.0,3.0,0.0,1.0,5.0,26.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
124,Chinese feremented black beans,China Beijing,Seasonings and Spices,,,,990.2,514.6,237.3,297.7,48.1,15.2,,131.7,390.6,377.8,3.9,31.8,389.7,656.9,248.7,367.9,,484.4,95.1,575.9,"T. Sumino (2014) J. of Cookery Science of Japan 47, 3, 183-186",good
125,"Chingen tsuai, leaf part",Japan,Vegetables,,,,18.0,22.0,24.0,31.0,0.0,0.0,18.0,2.0,29.0,26.0,0.0,1.0,10.0,4.0,9.0,16.0,10.0,12.0,14.0,64.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
126,"Chingen tsuai, stalk part",Japan,Vegetables,,,,13.1,11.0,9.1,16.1,30.12,0.0,6.1,3.0,31.1,7.1,0.0,0.0,7.0,2.0,31.12,6.1,31.12,3.0,3.1,8.1,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
127,Chingen tusai,Japan,Vegetables,,,,1.8,2.0,4.4,6.4,7.2,35.0,1.8,0.3,1.1,4.2,0.0,0.0,2.0,1.0,2.6,4.5,2.1,0.8,2.4,9.8,Hinako Ito and Hiroshi Ueno,bad
128,coconut milk,Thailand,Nuts and Seeds,,,,22.0,4.1,5.0,11.0,3.0,0.0,8.0,2.0,19.0,3.0,30.12,1.0,2.0,2.0,31.12,30.12,1.0,4.1,0.0,14.0,Source:Umami Information Center,unexceptional
129,Coffee Bean Brazil Roasted,Brazil,Beverages,,,,0.0,2.8,0.4,0.8,,,0.0,0.0,0.0,0.7,4.5,30.12,0.8,0.0,3.8,1.4,,6.9,0.0,0.0,"N. Sekiguti et.al (1994)Nippon Nogei kagaku Kaishi, 68,4, 821-827",bad
130,Coffee Bean Columbia Roasted,Columbia,Beverages,,,,0.7,2.7,0.4,1.4,,,0.0,0.5,0.0,1.4,1.5,1.3,0.0,0.0,2.7,1.8,,0.0,0.0,0.0,,bad
131,Coffee Bean Mandarin Roasted,Indonesia,Beverages,,,,0.0,2.6,0.0,0.7,,,0.0,0.0,0.0,1.5,1.5,0.0,0.7,0.0,3.2,1.7,,0.0,0.0,0.0,,bad
132,Coffee Bean Moca Roasted,Ethiopia,Beverages,,,,0.4,2.4,30.12,0.8,,,0.0,30.12,0.0,30.12,4.3,30.12,30.12,30.12,1.3,30.12,,30.12,30.12,30.12,,bad
133,"Coffee beans, Brazil, green beans",Brazil,Beverages,,,,95.1,69.0,6.8,37.5,,,0.0,8.2,49.1,12.4,4.2,3.9,10.4,8.4,11.8,22.9,,7.8,2.2,11.1,"N. Sekiguti et.al (1994)Nippon Nogei kagaku Kaishi, 68,4, 821-827",unexceptional
134,"Coffee beans, Kilimanjaro, green beans",Tanzania,Beverages,,,,92.3,34.5,6.8,25.3,,,0.0,5.3,29.7,12.1,4.5,3.9,10.0,8.2,11.1,17.3,,7.5,2.7,3.9,"N. Sekiguti et.al (1994)Nippon Nogei kagaku Kaishi, 68,4, 821-827",unexceptional
135,"Coffee beans, Kilimanjaro, roasted",Tanzania,Beverages,,,,0.6,3.2,30.12,31.12,,,0.0,30.12,0.0,1.7,1.5,1.2,30.12,0.0,3.1,1.1,,0.0,30.12,30.12,"N. Sekiguti et.al (1994)Nippon Nogei kagaku Kaishi, 68,4, 821-827",bad
136,Coffee Been Columbia,Columbia,Beverages,,,,93.8,49.8,4.9,19.8,,,0.0,4.7,33.5,13.1,4.3,3.9,11.3,8.1,13.9,15.1,,30.12,2.5,4.2,,unexceptional
137,Coffee Been Manderin,Indonesia,Beverages,,,,62.8,40.6,6.1,17.3,,,0.0,6.2,34.9,11.4,4.6,2.1,9.7,6.2,10.6,10.6,,5.4,2.2,3.2,,unexceptional
138,Coffee Been Moca,Ethiopia,Beverages,,,,83.7,59.7,6.4,22.1,,,0.0,6.2,34.8,12.5,3.7,4.1,11.4,7.9,12.6,21.9,,7.4,2.3,14.6,,unexceptional
139,"Concentrated extrac, Petisikan",Indonesia,Seasonings and Spices,,,,569.0,298.0,288.0,232.0,,,247.0,253.0,775.0,525.0,157.0,320.0,419.0,794.0,437.0,673.0,,627.0,1430.0,429.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",good
140,"Concentrated extract katsuo senji, traditional method",Japan,Seasonings and Spices,,,,158.0,134.0,114.0,136.0,,,234.0,139.0,349.0,225.0,0.0,122.0,124.0,224.0,198.0,319.0,,289.0,4850.0,149.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",unexceptional
141,Concentrated extract Rihakuru,Maldives,Seasonings and Spices,,,,165.0,61.0,92.0,77.0,,,0.0,105.0,313.0,140.0,0.0,60.0,76.0,157.0,152.0,241.0,,240.0,5810.0,115.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",unexceptional
142,Concentrated Extract UK,UK,Seasonings and Spices,,,,498.0,529.0,303.0,397.0,,,358.0,332.0,662.0,530.0,0.0,187.0,342.0,510.0,288.0,434.0,0.0,727.0,184.0,234.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",acceptable
143,Concentrated extract/petis udan,Indonesia,Seasonings and Spices,,,,18.11,16.3,70.0,45.0,,,245.0,1310.0,9.12,295.0,148.0,19.5,225.0,460.0,24.9,368.0,,20.4,16.9,1.4,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",unexceptional
144,Coriander,Japan,Vegetables,,,,1.6,3.1,10.1,15.1,54.0,8.2,14.0,0.5,3.9,12.1,0.0,1.7,9.1,9.1,9.5,15.1,13.0,2.1,3.8,6.6,Hinako Ito and Hiroshi Ueno,bad
145,"Corn, Canberra90",Japan Ibaragi,Vegetables,,,,109.1,13.7,9.6,21.3,,12.4,24.0,6.0,111.4,14.5,,2.0,3.3,4.3,11.1,4.2,,13.9,3.1,4.9,,unexceptional
146,"Corn, dried",Egypt,Cereals,,,,10.0,9.1,1.0,2.0,24.0,0.0,15.1,2.1,9.0,1.1,0.0,30.12,30.12,30.12,2.1,30.12,4.0,1.1,1.1,3.1,,
147,"Corn, Honey-bantam",Japan Ibaragi,Vegetables,,,,71.6,11.4,8.1,14.1,,16.0,26.3,5.6,81.2,11.2,,3.2,4.3,5.2,12.2,3.7,,16.1,3.6,3.4,,unexceptional
148,"Corn, Lucy90",Japan Ibaragi,Vegetables,,,,110.6,17.1,7.3,12.1,,25.0,21.5,6.4,85.3,7.1,,1.48,2.2,4.2,6.3,3.4,,10.1,3.0,4.0,,unexceptional
149,Cresson,Japan,Vegetables,,,,74.3,31.0,23.5,29.9,53.5,42.9,6.9,1.9,14.3,29.7,,,21.2,14.1,14.3,26.8,,19.4,0.3,41.6,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",unexceptional
150,"Cucumber, on harvest",Japan Saitama,Vegetables,,,,9.66,4.61,2.57,9.65,,103.9,,8.15,3.14,2.22,3.09,2.23,2.56,3.67,2.71,2.51,,0.35,1.73,6.28,"A. Nakamachi et. al (2002)J. of Cookery Science of Japan 35,3,234－241",bad
151,Cummin,India,Seasonings and Spices,,,,81.0,,,,,,,,,,,,,,,,,,,,,unexceptional
152,Daitokuji natto,Japan Kyoto,Pulses,,,,600.0,390.0,120.0,190.0,10.0,10.0,760.0,120.0,330.0,270.0,10.0,0.0,250.0,360.0,170.0,290.0,,190.0,70.0,240.0,"K. Ooki et al. (2000) Kyoto Prefectural University report of art and science  Human environment science and agriculture , 52, 1-6",good
153,dashi bonito flake,Japan,Fishes and Shellfishes,6.24,,,,,,,,,,,,,,,,,,,,,,,"Mutuko Oomachi (1985)bulletin of Kassui women's univ.28,29-38",
154,"Dashi, arabushi (katsuobushi without fermentation) 20ｇ and makombu 10g/L",Japan,Seasonings and Spices,15.0,,,9.65,1.8,0.2,0.3,14.03,,,0.43,4.53,0.98,,0.4,0.38,0.63,0.38,0.25,,1.13,35.8,,"K. Shibata et al.(2008) Journal of Cookery Science of Japan, 41, 5, 304-312",bad
155,"Dashi, dried shiitake mushroom, Koshin 40g/L",Japan Oita,Seasonings and Spices,,0.07,,11.6,,,,,,,,,,,,,,,,,,,,"M. Higashiguchi et al.（2005）J. for the Integrated Study of Dietary Habits, 15, 4, 253ー260",unexceptional
156,"Dashi, katsuobushi 50g/L",Japan,Seasonings and Spices,414.0,,,24.0,9.0,12.0,10.0,,,21.0,22.0,49.0,20.0,,10.0,10.0,17.0,8.0,23.0,,79.0,30.0,5.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
157,"Dashi, niboshi 20g/ L",Japan,Seasonings and Spices,12.0,,,1.77,0.5,0.3,0.33,0.0,,,0.52,1.47,0.78,,0.2,0.32,0.55,0.28,0.22,,0.98,6.63,0.32,"K. Shibata et al.(2008) Journal of Cookery Science of Japan, 41, 5, 304-312",bad
158,"Dau dawa, locust bean, fermented using no salt",West Africa,Pulses,,,,1700.0,456.0,28.0,0.0,,,685.0,11.0,136.0,656.0,151.0,26.0,165.0,158.0,574.0,229.0,0.0,190.0,0.0,0.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",very good
159,Deep-water shrimp/Hokkoku akaebi,Japan,Fishes and Shellfishes,35.0,,,41.0,10.0,16.0,11.0,31.0,,11.3,526.0,90.0,23.0,,19.0,17.0,37.0,14.0,18.0,,27.0,1900.1,181.0,"A. Asakawa et al. Nippon Shokuhin Kagaku Kogaku Kaishi 28,11,594-599",unexceptional
160,"Deer, thigh, aged, raw",Japan Hyogo,Meats,,,,35.7,53.4,46.4,38.6,,,25.5,38.7,83.6,36.4,0.0,0.0,0.0,40.3,40.2,43.2,,62.2,1004.8,0.0,"M. Yoshimura et al. (2011),  Nippon Shokuhin Kagaku Kaishi, 58,517-524",unexceptional
161,"Deer, thigh, before aging",Japan Hyogo,Meats,,,,25.2,34.9,25.5,24.5,,,0.0,29.2,73.8,21.1,0.0,30.12,0.0,30.12,27.8,38.6,,61.7,774.5,0.0,"M. Yoshimura et al. (2011),  Nippon Shokuhin Kagaku Kaishi, 58,517-524",unexceptional
162,Dill,Japan,Vegetables,,,,4.3,8.9,21.0,33.0,139.0,239.0,25.0,0.9,8.9,28.0,0.0,5.2,21.0,7.8,27.0,39.0,23.0,3.0,9.0,23.0,Hinako Ito and Hiroshi Ueno,bad
163,Dried baby red snapper,Japan,Fishes and Shellfishes,550.0,10.0,,63.0,15.0,32.0,19.1,,,28.0,43.0,4.3,18.0,0.0,4.01,12.01,25.1,15.0,14.0,4.0,60.0,41.0,23.0,,unexceptional
164,Dried baby sardine,Japan Nagasai,Seasonings and Spices,14.33,,,4.17,0.72,1.31,2.12,,2.11,0.0,,4.2,1.72,0.44,1.06,1.05,1.7,1.29,1.36,,2.22,7.39,1.31,,bad
165,Dried bonito with molding,Japan,Fishes and Shellfishes,,,,43.0,9.0,18.0,17.0,,,14.0,27.0,52.0,,0.0,11.0,16.0,29.0,4.0,18.0,0.0,88.0,3031.0,0.0,,unexceptional
166,Dried bonito without molding,Japan,Fishes and Shellfishes,,,,54.0,0.0,17.0,17.0,,,30.0,46.0,91.0,39.0,0.0,17.0,35.0,45.0,6.0,20.0,0.0,123.0,3938.0,,,unexceptional
167,"Dried fish, Etrumeus sadina",Japan,Fishes and Shellfishes,830.0,20.0,,67.0,13.0,22.0,18.0,,,16.0,23.0,100.0,21.0,0.0,7.0,12.0,24.0,14.0,14.0,3.0,50.0,765.0,28.0,うま味インフォメーション調べ,unexceptional
168,dried flying fish,Japan　Nagasaki,Fishes and Shellfishes,410.0,0.0,,99.0,51.0,47.0,52.0,,,43.0,67.0,106.0,47.0,0.0,12.0,34.0,62.0,33.0,34.0,7.0,71.0,679.0,47.0,,unexceptional
169,Dried horse mackerel,Japan,Fishes and Shellfishes,620.0,10.0,,86.0,27.0,41.0,32.0,,,31.0,47.0,90.0,44.0,0.0,17.0,32.0,63.0,29.0,29.0,6.0,128.0,142.0,67.0,,unexceptional
170,Dried Laver/Iwanori,Japan,Algae,17.32,,,490.0,90.0,180.0,190.0,,,1580.0,550.0,710.0,260.0,0.0,120.0,180.0,350.0,190.0,170.0,40.0,310.0,40.0,1480.0,Umami Information Center,acceptable
171,Dried Miso,Japan,Seasonings and Spices,,,,386.29,311.61,69.74,124.39,,,272.12,55.64,198.77,125.74,,,165.16,323.8,176.06,157.21,9.71,74.4,14.63,252.64,,acceptable
172,Dried sardine,Japan,Fishes and Shellfishes,959.0,,,,,,,,,,,,,,,,,,,,,,,"Mutuko Oomachi (1985)bulletin of Kassui women's univ.28,29-38",
173,Dried sardine,Japan Yamaguchi,Fishes and Shellfishes,650.0,20.0,,71.0,19.0,21.0,23.0,,,37.0,32.0,77.0,18.0,0.0,2.0,11.0,23.0,11.0,12.0,3.0,59.0,664.0,28.0,,unexceptional
174,"Dried sardine, blue",Japan,Fishes and Shellfishes,630.0,20.0,,65.0,17.0,22.0,20.0,,,32.0,31.0,77.0,32.0,0.0,6.0,21.0,41.0,16.0,16.0,4.0,64.0,421.0,33.0,source:Umami Information Center,unexceptional
175,"Dried sardine, blue",Japan,Fishes and Shellfishes,480.0,10.0,,50.0,14.1,16.1,12.1,,,16.1,25.0,60.0,23.1,0.0,3.1,16.1,33.0,11.0,10.1,3.0,47.0,29.0,18.1,,unexceptional
176,"Dried sardine, large",Japan Kagawa,Fishes and Shellfishes,460.1,,,58.9,8.7,20.2,23.9,6.8,25.5,18.1,50.8,93.5,30.6,0.0,12.6,20.7,33.9,16.1,14.8,,22.1,636.0,14.2,,unexceptional
177,"Dried sardine, middle",Japan Kagawa,Fishes and Shellfishes,488.3,,,56.8,9.4,21.6,28.6,9.8,23.9,18.6,53.0,88.2,20.3,0.0,12.1,14.9,22.1,13.7,13.9,,29.3,992.8,13.2,,unexceptional
178,"Dried sardine, white",Japan,Fishes and Shellfishes,580.0,30.0,,59.0,13.0,14.0,15.0,,,13.0,33.0,79.0,22.0,0.0,6.0,13.0,25.0,13.0,12.0,3.0,26.0,400.0,17.0,,unexceptional
179,"Dried sardine, White",Japan,Fishes and Shellfishes,560.0,10.0,,60.0,13.1,21.0,21.0,,,22.0,26.0,78.0,22.0,0.0,4.1,14.0,25.01,12.1,13.0,3.0,52.0,215.0,26.0,,unexceptional
180,Dried Scallop (HK),Hong Kong,Fishes and Shellfishes,0.0,99.2,,139.4,3.7,24.37,14.71,0.0,0.0,189.21,2828.25,292.7,26.28,0.0,9.4,15.41,16.01,11.4,9.44,15.71,42.09,0.0,1452.78,,unexceptional
181,Dried tomato,Japan,Vegetables,,,,648.0,320.0,31.0,44.0,0.0,0.0,15.0,10.0,71.0,27.0,0.0,7.0,14.0,26.0,14.0,61.0,10.0,26.0,14.0,26.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",good
182,"Dried tomato, cherry tomato Aiko",Japan Tokyo,Vegetables,,9.0,,1140.0,22.11,20.1,7.2,116.0,257.0,24.0,12.0,107.0,14.1,30.12,6.1,14.1,29.1,14.1,11.2,12.1,26.0,1900.1,3.2,Source:Umami Information Center,very good
183,Dried tuna,Japan,Fishes and Shellfishes,966.7,,,31.0,5.5,13.5,9.5,0.0,0.0,32.8,20.0,73.9,18.4,1.9,7.6,9.2,20.9,10.5,10.1,4.5,89.0,2033.6,11.2,Umami Information Center,unexceptional
184,Dried young sardines,Japan,Fishes and Shellfishes,240.0,,,36.0,9.0,26.0,5.02,,,21.0,19.01,39.0,30.0,0.0,16.0,23.0,37.0,29.0,1.02,8.0,55.0,98.0,31.01,,unexceptional
185,"Dry-cured ham,  preserved for 77 days",Spain,Meats,,,,34.57,7.85,7.71,9.07,1.1,7.2,18.51,5.04,16.18,14.14,,5.85,4.84,4.71,8.86,10.07,0.64,13.96,10.41,12.05,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
186,"Dry-cured ham, preserved  for 167 days under dry condition",Spain,Meats,,,,142.23,20.07,34.64,31.38,4.98,62.48,41.2,38.03,56.84,69.58,,30.76,68.28,73.04,61.23,42.52,15.77,83.23,12.7,35.49,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
187,"Dry-cured ham, preserved for  347 days, midst of aging",Spain,Meats,,,,206.82,36.02,50.35,57.42,7.09,129.84,84.46,52.15,145.36,99.86,,41.88,114.51,127.73,105.52,97.01,55.98,149.54,13.44,54.09,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
188,"Dry-cured ham, preserved for  527 days, aged",Spain,Meats,,,,337.42,67.88,109.12,114.77,8.97,147.32,116.52,106.8,209.16,131.97,,73.07,147.98,219.41,151.89,119.11,95.96,226.4,19.08,83.95,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",acceptable
189,"Dry-cured ham, preserved for 122 days",Spain,Meats,,,,45.78,10.6,11.76,14.79,6.75,14.34,27.63,7.42,25.88,29.34,,7.55,14.56,16.96,14.86,17.62,4.35,21.01,12.08,17.8,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
190,"Dry-cured ham, preserved for 17 days, 15days after salting",Spain,Meats,,,,11.08,1.96,2.69,1.59,0.95,1.96,4.5,2.97,7.85,2.42,,2.49,2.38,3.6,2.23,3.36,0.21,3.93,3.3,3.16,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
191,"Dry-cured ham, preserved for 2 days",Spain,Meats,,,,5.83,1.69,1.58,1.53,0.51,1.67,3.44,2.62,6.45,1.69,,1.5,1.56,2.53,1.73,1.95,0.06,2.04,2.46,2.57,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",bad
192,Early red,Japan,Vegetables,,,,12.0,3.1,7.9,5.4,25.0,211.0,4.1,0.8,0.7,2.2,0.0,1.1,1.4,5.1,10.0,3.6,9.6,2.9,10.0,16.4,Hinako Ito and Hiroshi Ueno,unexceptional
193,Edamame,Japan,Vegetables,,,,66.7,32.1,4.7,8.2,34.7,,0.0,3.6,16.8,5.3,,,3.5,4.6,1.1,2.6,,1.6,,13.4,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",unexceptional
194,edible crysanthemum,Japan,Vegetables,,,,8.3,8.6,4.5,9.1,23.0,11.1,12.0,0.8,5.6,5.6,0.0,30.12,3.1,1.9,1.7,6.4,1.3,2.3,2.0,6.1,Hinako Ito and Hiroshi Ueno,bad
195,Eel,Japan,Fishes and Shellfishes,,,,4.5,0.2,2.9,1.7,0.0,2.4,0.0,7.3,17.4,7.0,0.0,3.6,4.7,7.1,3.6,5.0,1.1,32.6,118.1,6.7,"T. Aoki et al. (2000) J. for the Integrated Study of Dietary Habits, 10, 4, 26-35",bad
196,Egg millet,Japan Toyama,Cereals,,,,1.1,0.2,0.2,0.4,,,30.12,0.5,0.6,0.6,0.0,0.1,0.1,0.2,0.2,0.2,0.0,30.12,0.0,0.3,"鹿島 真樹ら(2010) 富山県農林水産総合技術センター食品研究所研究報告, 1, 13-22",bad
197,Eggplant,Japan,Vegetables,,,,17.1,12.9,3.4,2.7,37.7,44.4,2.1,37.5,1.6,7.8,,,3.9,1.8,2.8,4.2,,6.8,,9.9,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",unexceptional
198,"Enoki mushroom, fresh",Japan,Mushrooms,,,,133.6,17.3,20.5,24.1,12.0,1.8,20.2,25.7,123.5,27.6,,,21.1,35.4,21.2,23.9,,29.2,22.6,21.0,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",unexceptional
199,Eschalot,Japan,Vegetables,,,,29.8,14.3,2.4,9.8,,12.7,,0.7,7.8,16.2,,,3.1,3.8,11.7,6.6,,21.5,8.1,92.0,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",unexceptional
200,Fava bean,Japan,Vegetables,,,,70.6,24.5,32.7,17.3,88.1,15.2,0.0,14.6,160.0,44.4,,,28.2,19.2,11.9,4.7,,12.5,10.0,232.6,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",unexceptional
201,fermented grasshoppers,Denmark,Seasonings and Spices,,,,304.0,501.0,115.0,98.0,,,411.0,193.0,409.0,457.0,69.0,58.0,583.0,,345.0,199.0,,133.0,67.0,656.0,"Ole G. Mouritsen, Lars Duelund, Ghislaine Calleja, et al. Ile=Ile+Leu",acceptable
202,fermented grasshoppers Extra virgin,Denmark,Seasonings and Spices,,,,288.0,452.0,106.0,94.0,,,396.0,173.0,382.0,470.0,59.0,56.0,551.0,,307.0,185.0,,125.0,69.0,592.0,"Ole G. Mouritsen, Lars Duelund, Ghislaine Calleja, et al. Ile=Ile+Leu",unexceptional
203,Fermented shrimp (China),China,Seasonings and Spices,,,,436.76,101.26,120.78,0.0,,,0.0,200.08,462.38,450.18,80.52,141.52,437.98,761.28,75.64,262.3,0.0,585.6,41.48,0.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",acceptable
204,Fermented shrimp (S.Korea),Korea,Seasonings and Spices,,,,363.6,300.6,169.2,192.6,,,183.6,271.8,349.2,311.4,117.0,451.8,183.6,419.4,273.6,298.8,0.0,388.8,82.8,370.8,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",acceptable
205,"Fermented shrimp, Bagoong alamang",Philippines,Seasonings and Spices,,,,814.15,661.5,344.25,110.25,,,290.25,456.75,621.0,423.0,76.5,236.25,351.0,580.5,429.75,362.25,81.0,688.5,135.0,72.0,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",good
206,fermented wax moths larvae,Denmark,Seasonings and Spices,,,,312.0,343.0,104.0,150.0,,,455.0,223.0,360.0,232.0,59.0,49.0,551.0,,307.0,179.0,,209.0,99.0,449.0,"Ole G. Mouritsen, Lars Duelund, Ghislaine Calleja, et al. Ile=Ile+Leu",acceptable
207,Fish or Shrimp paste Balachan,Malaysia,Seasonings and Spices,,,,1550.0,470.0,229.0,97.0,,,167.0,438.0,808.0,450.0,158.0,167.0,338.0,752.0,366.0,385.0,,627.0,43.0,6.2,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",very good
208,Fish Sauce Budu,Malaysia,Seasonings and Spices,0.0,,,620.61,362.4,229.52,163.08,,,0.0,173.65,406.19,372.97,96.64,220.46,318.16,463.57,157.04,173.65,0.0,555.68,190.26,15.1,"Y. Yoshida (1998) Food Rev. Int.,14(2&3),213-246",good
